"exp" "geneID"
"40650" 13.8377467754601 "GLUD1P3"
"44687" 13.8377467754601 "TMEM184B"
"20379" 13.8290352267341 "ENST00000424692"
"35956" 13.8252206321152 "POLR2F"
"53509" 13.8190021058322 "AMOTL2"
"57028" 13.8190021058322 "ENST00000487608"
"11465" 13.8157160170345 "GNB2L1"
"54478" 13.810075840569 "NME2"
"14743" 13.8004176235801 "A_33_P3407374"
"28405" 13.8004176235801 "YWHAG"
"38522" 13.7962995591181 "CDK16"
"38596" 13.7962995591181 "PPP1R14B"
"24897" 13.7909536457398 "ENST00000482912"
"19846" 13.788899519725 "RPLP0"
"34037" 13.7839255061771 "ACTG1P20"
"52294" 13.7839255061771 "GABARAP"
"7363" 13.7691679366097 "ENST00000448115"
"4974" 13.7651347503653 "TNPO2"
"12412" 13.7615058530525 "ENST00000461663"
"16883" 13.7572973672501 "HIST3H3"
"35046" 13.7479173575739 "HIST1H2BD"
"51449" 13.7365671600595 "IER5"
"50500" 13.7304970592029 "SYNGR2"
"10112" 13.720337543981 "ENST00000429515"
"34694" 13.7172598730346 "ENST00000423841"
"42473" 13.7142599653678 "XLOC_l2_002910"
"1164" 13.7120033349607 "E1A_r60_1"
"10255" 13.7093419597688 "NDUFAB1"
"7952" 13.7048419511828 "NPM1"
"8354" 13.7048419511828 "SORBS1"
"37584" 13.6903998759726 "ENST00000466297"
"38252" 13.6880594281281 "TUBB2A"
"7249" 13.685918496499 "SLC25A5"
"19609" 13.685918496499 "SEC24C"
"25467" 13.6752972135612 "PCBP4"
"57973" 13.6752972135612 "EIF4G2"
"48461" 13.6642426441787 "RPL23A"
"36999" 13.6611753990273 "PRPF19"
"10927" 13.6580723891758 "ENST00000511991"
"19922" 13.6426874258668 "A_33_P3319937"
"55992" 13.63041787994 "VIM"
"53327" 13.626780935297 "POMGNT1"
"56703" 13.622140778079 "NENF"
"26287" 13.6157244653252 "TUBB8"
"54389" 13.6117237407175 "HIST1H4I"
"2221" 13.6083721397345 "HIST1H2BK"
"32078" 13.6083721397345 "A_33_P3374365"
"9371" 13.6042075183895 "UBA52"
"39917" 13.6042075183895 "MAP2"
"13077" 13.5970872030937 "SCAP"
"6932" 13.5938930910712 "RPL34"
"562" 13.5856406534926 "ENST00000422600"
"19266" 13.5779476162057 "HIST1H2AE"
"33484" 13.5708119268928 "ENST00000482216"
"35210" 13.5676976727906 "A_33_P3218741"
"22644" 13.5611647626947 "PSMB6"
"52512" 13.5579640841225 "RPS15A"
"10037" 13.5516672201012 "TMEM256"
"39472" 13.5487951166424 "HSPE1"
"27493" 13.5457076063188 "TMEM88B"
"9045" 13.5418417834606 "PRDX1"
"31321" 13.5398790235523 "ZSWIM8"
"52906" 13.5363358430273 "RPS10"
"34274" 13.5292988104877 "DNM1"
"21122" 13.5253450085163 "GSK3A"
"50843" 13.5215439276505 "ENST00000453717"
"16000" 13.5169740600238 "SPCS1"
"33208" 13.5157122914202 "DCP_1_1"
"45705" 13.5129569053323 "AP2M1"
"16110" 13.5059197878601 "HIST1H2AM"
"7538" 13.5033012065041 "RPL5"
"19495" 13.4948188446097 "CCM2L"
"41346" 13.4917924250151 "RPS2"
"28642" 13.4860767699558 "GRINA"
"31573" 13.4830679366651 "ENST00000447680"
"0" 13.4767494134802 "GE_BrightCorner"
"17797" 13.4763172274986 "FKBP9"
"12062" 13.4740307715526 "ATP1B1"
"35021" 13.4740307715526 "PLXNA1"
"55533" 13.4718404621723 "REXO1"
"2206" 13.4693197600776 "ENST00000490410"
"40459" 13.4654347716711 "BOLA2B"
"41286" 13.4627355120432 "TMEM8C"
"26729" 13.4530858045784 "ENST00000471205"
"6835" 13.4492427879699 "TMBIM4"
"50487" 13.4492427879699 "ESRRA"
"13979" 13.4416833665599 "BOLA2B"
